title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Solo: A Star Wars Story,2018-05-15,52193417,Q27038847,6.563,55.759,392952373,192540
Terminator Genisys,2015-06-23,44609083,Q15140437,5.924,67.345,440603537,221388
Wonder Woman 1984,2020-12-16,54426188,Q33408623,6.478,48.128,169601036,201677
Alien: Covenant,2017-05-09,43219389,Q20430699,6.1,92.533,240891763,984706
The Conjuring 2,2016-06-08,43360594,Q21001651,7.293,80.98,321834351,174398
Shaun of the Dead,2004-04-09,598397,Q858724,7.54,46.212,30097092,175652
"The Good, the Bad and the Ugly",1966-12-23,31557,Q41483,8.473,81.717,38900000,401028
The Lost World: Jurassic Park,1997-05-23,666923,Q200873,6.527,2.257,618638999,269327
Transformers: Dark of the Moon,2011-06-28,25001260,Q232774,6.183,10.499,1123794079,254789
Top Gun,1986-05-16,179825,Q110138,7.0,50.029,356830601,534673
Source Code,2011-03-30,25920477,Q266209,7.297,31.922,147332697,115407
Ice Age: Dawn of the Dinosaurs,2009-06-26,12260598,Q179503,6.737,57.649,886686817,73533
The Secret Life of Pets,2016-06-18,45111773,Q18844656,6.266,13.019,875457937,149921
Free Guy,2021-08-11,60203476,Q38685497,7.55,62.599,331526598,335638
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,1252914,Q182373,5.998,47.907,786636033,214312
Fast Five,2011-04-20,28085067,Q401976,7.251,8.589,626137675,167891
Transformers: Age of Extinction,2014-06-25,32338015,Q6151665,5.92,57.581,1104054072,310210
Real Steel,2011-09-28,27702708,Q261759,6.981,88.181,299268508,135786
Bad Boys for Life,2020-01-15,58635027,Q29021224,7.139,46.619,426505244,717692
Top Gun: Maverick,2022-05-24,51065133,Q31202708,8.26,126.291,1488732821,825464
Snow White and the Huntsman,2012-05-30,36019569,Q624603,5.982,34.976,396600000,123842
Apocalypse Now,1979-08-15,18951054,Q182692,8.282,37.715,150000000,650582
The Breakfast Club,1985-02-15,29943,Q499152,7.751,27.667,51525171,481298
22 Jump Street,2014-06-05,39591044,Q15040917,6.842,23.367,331333876,176312
The Day After Tomorrow,2004-05-26,407178,Q14320,6.509,30.132,552639571,357247
10 Things I Hate About You,1999-03-30,398934,Q169082,7.58,36.364,53478166,511638
Fantastic Four: Rise of the Silver Surfer,2007-06-13,3654271,Q390063,5.592,30.047,301913131,130409
10 Cloverfield Lane,2016-03-10,44662181,Q18703038,6.981,27.817,110216998,387341
Pretty Woman,1990-03-23,156745,Q207954,7.5,42.75,463406268,425252
Quantum of Solace,2008-10-29,2969247,Q181540,6.314,33.985,589580482,197193
The Cabin in the Woods,2012-04-12,12925911,Q45394,6.608,38.675,71041255,348799
The Exorcist,1973-12-26,725459,Q274167,7.72,94.668,441405644,428131
The Terminal,2004-06-17,676909,Q318766,7.33,23.758,219417255,382550
The Lego Movie,2014-02-06,37864037,Q2608065,7.418,30.267,469160692,242282
The Nice Guys,2016-05-15,43846431,Q18415459,7.108,19.553,62788218,246589
Don't Look Up,2021-12-07,62387071,Q100361490,7.135,29.694,791863,412659
Nocturnal Animals,2016-11-04,46264503,Q21527905,7.442,21.733,29252978,367861
Scott Pilgrim vs. the World,2010-08-12,17574075,Q753899,7.469,39.003,48000000,334901
Maze Runner: The Death Cure,2018-01-10,46788290,Q23068002,7.1,41.488,288175335,127500
Rocky,1976-11-21,45772,Q188652,7.8,42.023,225250402,379049
Cars 2,2011-06-11,16839388,Q192212,6.08,72.036,559852396,189607
Ice Age: Continental Drift,2012-06-27,29609480,Q35951,6.36,53.054,877244782,88718
BlacKkKlansman,2018-08-09,55676624,Q43370948,7.521,16.735,93411426,263469
The Meg,2018-08-09,47049854,Q27957869,6.256,101.431,530517320,232646
127 Hours,2010-11-12,25244870,Q174371,7.068,25.491,35692920,235294
Blood Diamond,2006-12-08,4453691,Q74958,7.53,33.641,171720398,143510
Valerian and the City of a Thousand Planets,2017-07-20,49027117,Q20926273,6.625,36.195,225973340,164239
Ford v Ferrari,2019-11-13,57675000,Q55081822,8.01,78.353,225508210,381510
Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,21971275,Q244333,6.21,62.104,226497209,191895
Hot Fuzz,2007-02-14,3006708,Q729788,7.554,24.96,80573774,167391
The Kissing Booth,2018-05-11,57322861,Q53318860,7.229,36.649,0,151981
Don't Breathe,2016-06-08,48347765,Q21450470,7.009,24.908,159047649,250225
Ted 2,2015-06-25,37584615,Q17713411,6.286,58.25,215863606,199292
The Butterfly Effect,2004-01-17,454208,Q221109,7.56,30.387,96060858,339927
Midnight in Paris,2011-05-11,27070440,Q206124,7.535,25.087,151119219,162077
American Hustle,2013-12-03,38888211,Q9013673,6.848,20.876,251171807,210333
2 Fast 2 Furious,2003-06-05,407288,Q222867,6.483,6.294,236350661,198212
Ocean's Twelve,2004-12-09,1046470,Q504053,6.564,27.103,362744280,184864
